dialogue_id,turn,Model,words,sentences,simple_quest,whq,imper_quest,places,sensitive_data,relatives,first_names,conditional_vb,gratitude,thanksgiving,excuses,greetings,self_references,you_references,neutral_references,neg,pos,neu
wizardlm-13b,how can identity protection services help protect me against identity theft,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.371,0.629
vicuna-13b,"Beside OFAC's selective sanction that target the listed individiuals and entities, please elaborate on the other types of US's sanctions, for example, comprehensive and sectoral sanctions. Please be detailed as much as possible",1,35,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.18,0.82
vicuna-13b,are there other types of US sanctions that you didn't specified earlier? Please elaborate more,1,16,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0.123,0.0,0.877
vicuna-13b,please make organized conclusion in bullet list on all types of US's sanctions that you have had given the answers,1,21,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.108,0.892
vicuna-13b,"can you please revise the answer above again, but this time, make sure to specify which types of sanctions are the sub-category",1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.187,0.813
vicuna-13b,"if you see a person name stating that it is the registrar of a company in Malta, is registrar is a position and if so, what does he/she do?",1,29,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
vicuna-13b,"if you see a person's name stating that it is the registrar of a company in Malta, is registrar a position in that company? and if so, what does he/she do?",1,32,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
vicuna-13b,"You are the text completion model and you must complete the assistant answer below, only send the completion based on the system instructions.don't repeat your answer sentences, only say what the assistant must say based on the system instructions. repeating same thing in same answer not allowed.
 user: descriptive answer for append many items to list python in python with proper code examples and outputs.
 assistant:",1,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.018,0.982
palm-2,"The sum of the perimeters of three equal squares is 36 cm. Find the area and perimeter of
 of the rectangle that can be made of the squares.",1,28,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
palm-2,ty,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
