dialogue_id,turn,Model,words,sentences,simple_quest,whq,imper_quest,places,sensitive_data,relatives,first_names,conditional_vb,gratitude,thanksgiving,excuses,greetings,self_references,you_references,neutral_references,neg,pos,neu
1,Show me recipes for salad with tomatoes and croutons and without eggs food,1,13,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
2,Recipe for deep fired chicken,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0.0,0.526
3,Show me vegan Chinese recipes.,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
4,Show me vegan Italian recipes.,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
5,How do I cook skate fish?,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
6,show me baklava recipes,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
7,Show me a gluten free bread recipe that takes one minutes to bake,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.231,0.769
8,looking for good vegetarian meals,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.42,0.58
9,can you find me a recipe for carrot cake,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
10,Show me a recipe for trifle,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
11,Recipe for a bundt cake,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
12,Show me vegan Thai recipes.,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
13,what is a good chili recipe,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.42,0.58
14,I'm looking for a recipe for pumpkin pie with raisins,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
